gas_id,synonym,synonym_type,note
PFC-C-318,PFC-318,ar_naming_variant,"AR4/AR5 name for this substance; renamed PFC-C-318 in AR6"
PFC-116,PFC-1-1,ar_naming_variant,"AR4-era naming convention was PFC-X-X-XX; later reports use PFC-##-## style (per GHG Protocol footnote c)"
PFC-218,PFC-2-1-8,ar_naming_variant,"AR4-era naming convention was PFC-X-X-XX; later reports use PFC-##-## style (per GHG Protocol footnote c)"
CFC-11,Trichlorofluoromethane,common_name,"IUPAC-style name used in AR6 Table 7.SM.7"
CFC-12,Dichlorodifluoromethane,common_name,"IUPAC-style name used in AR6 Table 7.SM.7"
Halon-1211,Halon 1211,formatting_variant,"EPA/data.gov naming uses a space instead of hyphen"
Halon-1301,Halon 1301,formatting_variant,"EPA/data.gov naming uses a space instead of hyphen"
PFC-14,Carbon tetrafluoride,common_name,"EPA/Federal LCA Commons name"
PFC-116,Hexafluoroethane,common_name,"EPA/Federal LCA Commons name"
PFC-218,Perfluoropropane,common_name,"EPA/Federal LCA Commons name"
PFC-C-318,Perfluorocyclobutane,common_name,"EPA/Federal LCA Commons name"
CH4,Methane,common_name,"EPA/Federal LCA Commons name; also generic AR4/AR5 methane value (no fossil/non-fossil split)"
N2O,Nitrous oxide,common_name,"EPA/Federal LCA Commons name"
CO2,Carbon dioxide,common_name,"EPA/Federal LCA Commons name"
