gas_id,epa_name,AR4-20,AR4-100,AR4-500,AR5-20,AR5-100,AR6-20,AR6-100,AR6-500,source
CO2,Carbon dioxide,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
CH4,Methane,72.0,25.0,7.6,84.0,28.0,81.2,27.9,7.95,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
N2O,Nitrous oxide,289.0,298.0,153.0,264.0,265.0,273.0,273.0,130.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
SF6,Sulfur hexafluoride,16300.0,22800.0,32600.0,17500.0,23500.0,18300.0,25200.0,34100.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
NF3,Nitrogen trifluoride,12300.0,17200.0,20700.0,12800.0,16100.0,13400.0,17400.0,18200.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-23,HFC-23,12000.0,14800.0,12200.0,10800.0,12400.0,12400.0,14600.0,10500.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-32,HFC-32,2330.0,675.0,205.0,2430.0,677.0,2690.0,771.0,220.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-125,HFC-125,6350.0,3500.0,1100.0,6090.0,3170.0,6740.0,3740.0,1110.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-134a,HFC-134a,3830.0,1430.0,435.0,3710.0,1300.0,4140.0,1530.0,436.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-143a,HFC-143a,5890.0,4470.0,1590.0,6940.0,4800.0,7840.0,5810.0,1940.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-152a,HFC-152a,437.0,124.0,38.0,506.0,138.0,591.0,164.0,46.8,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-227ea,HFC-227ea,5310.0,3220.0,1040.0,5360.0,3350.0,5850.0,3600.0,1100.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-236fa,HFC-236fa,8100.0,9810.0,7660.0,6940.0,8060.0,7450.0,8690.0,6040.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-245fa,HFC-245fa,3380.0,1030.0,314.0,2920.0,858.0,3170.0,962.0,274.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-365mfc,HFC-365mfc,2520.0,794.0,241.0,2660.0,804.0,2920.0,914.0,261.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HFC-43-10mee,HFC-4310mee,4140.0,1640.0,500.0,4310.0,1650.0,3960.0,1600.0,458.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
CFC-11,CFC-11,6730.0,4750.0,1620.0,6900.0,4660.0,8320.0,6230.0,2090.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
CFC-12,CFC-12,11000.0,10900.0,5200.0,10800.0,10200.0,12700.0,12500.0,5710.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
CFC-113,CFC-113,6540.0,6130.0,2700.0,6490.0,5820.0,6860.0,6520.0,2830.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
CFC-114,CFC-114,8040.0,10000.0,8730.0,7710.0,8590.0,8260.0,9430.0,6150.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
CFC-115,CFC-115,5310.0,7370.0,9990.0,5860.0,7670.0,7410.0,9600.0,9880.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HCFC-22,HCFC-22,5160.0,1810.0,549.0,5280.0,1760.0,5690.0,1960.0,560.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
HCFC-141b,HCFC-141b,2250.0,725.0,220.0,2550.0,782.0,2710.0,860.0,246.0,"EPA/data.gov IPCC AR4-AR6 GWPs (LCIA Formatter), doi:10.23719/1529821"
