gas_id,formula,cas,gas_group
CO2,CO2,124-38-9,other
CH4,CH4,74-82-8,other
N2O,N2O,10024-97-2,other
SF6,SF6,2551-62-4,other
NF3,NF3,7783-54-2,other
HFC-23,CHF3,75-46-7,HFC
HFC-32,CH2F2,75-10-5,HFC
HFC-125,CHF2CF3,354-33-6,HFC
HFC-134a,CH2FCF3,811-97-2,HFC
HFC-143a,CH3CF3,420-46-2,HFC
HFC-152a,CH3CHF2,75-37-6,HFC
HFC-227ea,CF3CHFCF3,431-89-0,HFC
HFC-236fa,CF3CH2CF3,690-39-1,HFC
HFC-245fa,CHF2CH2CF3,460-73-1,HFC
HFC-365mfc,CH3CF2CH2CF3,406-58-6,HFC
HFC-43-10mee,CF3CHFCHFCF2CF3,138495-42-8,HFC
CFC-11,CCl3F,75-69-4,CFC
CFC-12,CCl2F2,75-71-8,CFC
CFC-113,CCl2FCClF2,76-13-1,CFC
CFC-114,CClF2CClF2,76-14-2,CFC
CFC-115,CClF2CF3,76-15-3,CFC
HCFC-22,CHClF2,75-45-6,HCFC
HCFC-141b,CH3CCl2F,1717-00-6,HCFC
HCFC-142b,CH3CClF2,75-68-3,HCFC
Halon-1211,CBrClF2,353-59-3,halon
Halon-1301,CBrF3,75-63-8,halon
PFC-14,CF4,75-73-0,PFC
PFC-116,C2F6,76-16-4,PFC
PFC-218,C3F8,76-19-7,PFC
PFC-C-318,cyc (-CF2CF2CF2CF2-),115-25-3,PFC
CH4-fossil,CH4,74-82-8,other
CH4-nonfossil,CH4,74-82-8,other
